address,artifact_alias,license_type,metadata_cid
0x0000000000000000000000000000000000001111,ValidatorSmartContractAllowList,apache_2_0,QmNaCrRQu9fwxkfnJAuwa2FDPZXXEs6LS4QPy5xEheefyS
0x0000000000000000000000000000000000FacAdE,ProxyAdmin,mit,QmYhY7xhnBeZtajwJJHYk8LQLXWn7ue2iTtn47kbKkijUo
0x000000000000000000000000000000000000cafE,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x00000000000000000000000000000000de1E6A7E,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x000000000000000000000000000000000000FEeD,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x000000000000000000000000000000000000Face,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x3232323232323232323232323232323232323232,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x3333333333333333333333333333333333333333,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x2323232323232323232323232323232323232323,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x2222222222222222222222222222222222222222,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x000000000000000000000000000000000000c0DE,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x010000000000000000000000000000000000C0DE,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x020000000000000000000000000000000000c0dE,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x030000000000000000000000000000000000c0de,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x040000000000000000000000000000000000c0de,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
0x050000000000000000000000000000000000C0DE,TransparentUpgradeableProxy,mit,QmfXfNi8ESZQRTDhoYRseHgHFtit9FGZV3BEHFkt7cHgba
