artifact_alias,contract_name,spdx,license_type,license_type_id,compiler_version,evm
CodeManager,CodeManager,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
DakotaDelegation,DakotaDelegation,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
DakotaDelegationBeacon,DakotaDelegationBeacon,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
DakotaDelegationBeaconDispatcher,DakotaDelegationBeaconDispatcher,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
DakotaDelegationRegistry,DakotaDelegationRegistry,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
GasManager,GasManager,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
GasSponsor,GasSponsor,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
GenesisCanary,GenesisCanary,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
ProxyAdmin,ProxyAdmin,MIT,mit,3,v0.8.37+commit.f401782d,osaka
TransparentUpgradeableProxy,TransparentUpgradeableProxy,MIT,mit,3,v0.8.37+commit.f401782d,osaka
ValidatorSmartContractAllowList,ValidatorSmartContractAllowList,Apache-2.0,apache_2_0,12,v0.8.19+commit.7dd6d404,london
PrivateComboStorage,PrivateComboStorage,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,shanghai
CryftGreetingCards,CryftGreetingCards,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
DeliveryFailureProbe,DeliveryFailureProbe,MIT,mit,3,v0.8.37+commit.f401782d,osaka
ManagedProxyAdmin,ManagedProxyAdmin,MIT,mit,3,v0.8.37+commit.f401782d,shanghai
ManagedApplicationProxy,ManagedApplicationProxy,MIT,mit,3,v0.8.37+commit.f401782d,shanghai
PenteFactory,PenteFactory,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
PentePrivacyGroup,PentePrivacyGroup,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
ERC1967Proxy,ERC1967Proxy,MIT,mit,3,v0.8.37+commit.f401782d,osaka
CodeManagerStrict,CodeManager,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,osaka
PrivateComboStorageStrict,PrivateComboStorage,Apache-2.0,apache_2_0,12,v0.8.37+commit.f401782d,shanghai
